Longitude,Latitude,Address
115.75101,39.98943,"东胡林村, 门头沟区, 北京市, 中国"
115.751291,39.590511,"蔡家口村, 房山区, 北京市, 中国"
115.751343,39.531406,"南土路, 镇江营村, 房山区, 北京市, 074100, 中国"
115.751381,39.531351,"南土路, 镇江营村, 房山区, 北京市, 074100, 中国"
115.760511,39.539111,"塔照村委会, 南土路, 塔照村, 房山区, 北京市, 中国"
115.760551,39.539181,"塔照村委会, 南土路, 塔照村, 房山区, 北京市, 中国"
115.760552,39.53918,"塔照村委会, 南土路, 塔照村, 房山区, 北京市, 中国"
115.761491,39.558781,"京昆高速, 广禄庄村, 房山区, 北京市, 中国"
115.761566,39.558743,"京昆高速, 广禄庄村, 房山区, 北京市, 中国"
115.761568,39.558742,"京昆高速, 广禄庄村, 房山区, 北京市, 中国"
115.764772,39.597697,"周张路, 蔡家口村, 房山区, 北京市, 074100, 中国"
115.768732,39.564661,"京昆高速, 广禄庄村, 房山区, 北京市, 中国"
115.76937,39.60608,"云居寺路, 水头村, 房山区, 北京市, 中国"
115.775581,40.520661,"雪车雪橇中心酒店, 松阎路, 大庄科村, 延庆区, 北京市, 中国"
115.775956,39.573833,"京昆高速, 广禄庄村, 房山区, 北京市, 中国"
115.77596,39.573833,"京昆高速, 广禄庄村, 房山区, 北京市, 中国"
115.776062,39.992644,"（非成熟路线）, 军响村, 门头沟区, 北京市, 中国"
115.776062,39.998834,"斋堂中坤山庄, 京拉路, 军响村, 门头沟区, 北京市, 中国"
115.77656,39.549,"南尚乐村, 房山区, 北京市, 中国"
115.777121,39.537212,"南尚乐村, 房山区, 北京市, 中国"
115.777221,39.801471,"北石匣, 贾峪口村, 房山区, 北京市, 中国"
115.777222,39.801472,"北石匣, 贾峪口村, 房山区, 北京市, 中国"
115.777721,40.445135,"下营村, 延庆区, 北京市, 中国"
115.778274,40.523112,"大庄科村, 延庆区, 北京市, 中国"
115.780202,40.517521,"松阎路, 大庄科村, 延庆区, 北京市, 中国"
115.780744,39.540584,"房易路, 北尚乐村, 房山区, 北京市, 中国"
115.782028,40.513803,"松阎路, 大庄科村, 延庆区, 北京市, 中国"
115.782316,40.525966,"大庄科村, 延庆区, 北京市, 中国"
115.782521,39.547841,"北尚乐村, 房山区, 北京市, 中国"
115.783678,39.519898,"南河村, 房山区, 北京市, 中国"
115.783722,40.527129,"大庄科村, 延庆区, 北京市, 中国"
115.784363,39.58351,"京昆高速, 房山区, 北京市, 中国"
115.784363,39.583511,"京昆高速, 房山区, 北京市, 中国"
115.785659,40.530628,"大庄科村, 延庆区, 北京市, 中国"
115.786868,40.525693,"北京松山国家级自然保护区, 延庆冬奥村, 大庄科村, 延庆区, 北京市, 中国"
115.787601,39.812499,"九道河西, 京昆路, 九道河, 贾峪口村, 房山区, 北京市, 中国"
115.78788,40.44418,"下营村, 延庆区, 北京市, 中国"
115.788286,39.54264,"房易路, 北尚乐村, 房山区, 北京市, 中国"
115.790464,39.527701,"惠南庄村, 房山区, 北京市, 中国"
115.790861,39.603536,"下庄村, 房山区, 北京市, 中国"
115.791285,39.59877,"云居寺路, 下庄村, 房山区, 北京市, 中国"
115.791917,39.616833,"三岔村, 房山区, 北京市, 中国"
115.792141,40.010891,"京拉路, 法城口, 青白口村, 门头沟区, 北京市, 中国"
115.792886,40.556267,"闫家坪-海坨山, 雕鹗镇, 赤城县, 延庆区, 北京市, 中国"
115.793974,39.543785,"房易路, 北尚乐村, 房山区, 北京市, 中国"
115.794033,39.605848,"下庄村, 房山区, 北京市, 中国"
115.794834,39.547917,"辛庄村, 房山区, 北京市, 中国"
115.796098,39.519812,"南河村, 房山区, 北京市, 中国"
115.796131,39.520001,"南河村, 房山区, 北京市, 中国"
115.796972,39.819944,"大港路, 山川, 山川村, 房山区, 北京市, 中国"
115.797337,40.540815,"延庆区, 北京市, 中国"
115.797469,40.454876,"姚家营, 姚家营村, 延庆区, 北京市, 中国"
115.798099,39.526749,"半壁店村, 房山区, 北京市, 中国"
115.798112,39.534727,"广润庄村, 房山区, 北京市, 中国"
115.798182,39.588653,"京昆高速, 后石门村, 房山区, 北京市, 中国"
115.799194,39.620029,"三岔村, 房山区, 北京市, 中国"
115.800211,39.552301,"辛庄村, 房山区, 北京市, 中国"
115.800321,39.552338,"辛庄村, 房山区, 北京市, 中国"
115.800322,39.552339,"辛庄村, 房山区, 北京市, 中国"
115.80158,40.45222,"姚家营, 姚家营村, 延庆区, 北京市, 中国"
115.801881,39.511151,"南河村, 房山区, 北京市, 中国"
115.802101,40.001451,"京拉路, 法城口, 青白口村, 门头沟区, 北京市, 中国"
115.802466,39.546703,"辛庄村, 房山区, 北京市, 中国"
115.803462,39.572378,"高庄村, 房山区, 北京市, 中国"
115.803855,39.564469,"下营村, 房山区, 北京市, 中国"
115.804033,39.564142,"下营村, 房山区, 北京市, 中国"
115.805576,39.560974,"下营村, 房山区, 北京市, 中国"
115.805731,39.585531,"后石门村, 房山区, 北京市, 中国"
115.805741,39.585551,"后石门村, 房山区, 北京市, 中国"
115.805934,40.555057,"闫家坪-海坨山, 雕鹗镇, 赤城县, 张家口市, 河北省, 中国"
115.806424,39.591265,"京昆高速, 后石门村, 房山区, 北京市, 中国"
115.80751,39.530131,"广润庄村, 房山区, 北京市, 中国"
115.808039,40.550155,"延庆区, 北京市, 中国"
115.808878,39.826331,"京昆路, 山川, 山川村, 房山区, 北京市, 中国"
115.809515,39.576015,"石水路, 前石门村, 房山区, 北京市, 中国"
115.809519,39.530323,"广润庄村, 房山区, 北京市, 中国"
115.809594,39.574405,"石水路, 前石门村, 房山区, 北京市, 中国"
115.809923,39.565238,"下营村, 房山区, 北京市, 中国"
115.81024,40.45976,"胡家营村, 延庆区, 北京市, 中国"
115.81278,39.556814,"石水路, 前石门村, 房山区, 北京市, 中国"
115.812781,39.556814,"石水路, 前石门村, 房山区, 北京市, 中国"
115.812936,40.013694,"京拉路, 青白口村, 门头沟区, 北京市, 中国"
115.817321,39.551311,"石窝, 房山区, 北京市, 中国"
115.817331,39.551311,"石窝, 房山区, 北京市, 中国"
115.817427,39.551304,"石窝, 房山区, 北京市, 中国"
115.817631,39.567151,"独树村, 房山区, 北京市, 中国"
115.817726,39.551361,"石窝, 房山区, 北京市, 中国"
115.817825,39.567181,"独树村, 房山区, 北京市, 中国"
115.817861,39.567222,"独树村, 房山区, 北京市, 中国"
115.817933,39.542335,"大石窝镇, 房山区, 北京市, 中国"
115.81834,39.589953,"云居寺路, 六甲房村, 房山区, 北京市, 中国"
115.818341,39.589953,"云居寺路, 六甲房村, 房山区, 北京市, 中国"
115.818806,39.813083,"长操, 京昆路, 山川, 山川村, 房山区, 北京市, 中国"
115.818811,39.813084,"长操, 京昆路, 山川, 山川村, 房山区, 北京市, 中国"
115.819118,40.550526,"啤酒溪-松山 Brewery Creek - Pine Tree Hill, 雕鹗镇, 上板泉村, 延庆区, 北京市, 中国"
115.819277,40.458297,"西五里营村, 延庆区, 北京市, 中国"
115.82335,40.45347,"西五里营村, 延庆区, 北京市, 中国"
115.823554,40.465848,"京青线, 下营村, 延庆区, 北京市, 中国"
115.824484,39.557177,"大石窝镇, 房山区, 北京市, 中国"
115.824997,39.570313,"岩上村, 房山区, 北京市, 中国"
115.826319,40.472301,"水峪村, 延庆区, 北京市, 中国"
115.827806,40.016944,"雁翅镇, 门头沟区, 北京市, 中国"
115.827906,39.561462,"独树村, 房山区, 北京市, 中国"
115.83006,40.47483,"佛峪口村, 延庆区, 北京市, 中国"
115.831657,39.785439,"红南路, 董家沟, 花港村, 房山区, 北京市, 中国"
115.832001,39.585601,"黄元井村, 房山区, 北京市, 中国"
115.833261,39.592335,"云居寺路, 六甲房村, 房山区, 北京市, 中国"
115.833341,39.585431,"杵山登山步道, 黄元井村, 房山区, 北京市, 中国"
115.833548,39.585315,"杵山登山步道, 黄元井村, 房山区, 北京市, 中国"
115.833621,39.551834,"半壁店村, 房山区, 北京市, 中国"
115.83372,40.45959,"前黑龙庙村, 延庆区, 北京市, 中国"
115.834001,39.551601,"半壁店村, 房山区, 北京市, 中国"
115.834556,39.555402,"半壁店村, 房山区, 北京市, 中国"
115.83466,39.59229,"云居寺路, 六甲房村, 房山区, 北京市, 中国"
115.836961,39.796321,"董家沟, 花港村, 房山区, 北京市, 中国"
115.837153,39.766869,"红南路, 南窖村, 房山区, 北京市, 中国"
115.83798,40.47623,"松闫路支线, 张山营镇, 延庆区, 北京市, 中国"
115.83806,40.47619,"松闫路支线, 张山营镇, 延庆区, 北京市, 中国"
115.839349,39.695013,"坡峰岭登山步道, 涞沥水村, 房山区, 北京市, 中国"
115.840151,39.810891,"刘家台, 花港村, 房山区, 北京市, 中国"
115.841088,39.581185,"黄元井村, 房山区, 北京市, 中国"
115.843056,39.777944,"黄石岩, 中窖村, 房山区, 北京市, 中国"
115.847001,39.561501,"南正村, 房山区, 北京市, 中国"
115.847105,40.463862,"后黑龙庙村, 延庆区, 北京市, 中国"
115.847879,39.592997,"云居寺路, 六甲房村, 房山区, 北京市, 中国"
115.849671,39.820221,"京昆路, 西仓, 红煤厂村, 房山区, 北京市, 中国"
115.852448,40.471401,"京新高速, 下芦凤营村, 延庆区, 北京市, 中国"
115.85345,40.47708,"西卓家营路, 张山营镇社区, 延庆区, 北京市, 中国"
115.855282,40.378004,"康草路, 大王庄村, 延庆区, 北京市, 075400, 中国"
115.855456,39.636085,"龙下路, 红峪, 孤山口村, 房山区, 北京市, 中国"
115.855462,39.935419,"清千路, 庄户, 千军台社区, 门头沟区, 北京市, 中国"
115.856091,40.031021,"太子墓村, 门头沟区, 北京市, 中国"
115.856114,39.805225,"京昆路复线, 西仓, 红煤厂村, 房山区, 北京市, 中国"
115.859252,40.489032,"上芦凤营村, 延庆区, 北京市, 中国"
115.859333,39.589783,"六甲房村, 房山区, 北京市, 中国"
115.861001,39.569801,"北正村, 房山区, 北京市, 中国"
115.861717,39.570065,"北正村, 房山区, 北京市, 中国"
115.862005,39.604343,"京昆高速, 罗家峪村, 房山区, 北京市, 中国"
115.862281,39.570141,"北正村, 房山区, 北京市, 中国"
